,TEAM_ID,TEAM_ABBREVIATION,SEASON,PTS_ave,PTS_home_ave,PTS_away_ave,PTS_allowed_ave,PTS_home_allowed_ave,PTS_away_allowed_ave,PTS_tot,PTS_home_tot,PTS_away_tot,PTS_allowed_tot,PTS_home_allowed_tot,PTS_away_allowed_tot,AST_ave,AST_home_ave,AST_away_ave,AST_allowed_ave,AST_home_allowed_ave,AST_away_allowed_ave,AST_tot,AST_home_tot,AST_away_tot,AST_allowed_tot,AST_home_allowed_tot,AST_away_allowed_tot,REB_ave,REB_home_ave,REB_away_ave,REB_allowed_ave,REB_home_allowed_ave,REB_away_allowed_ave,REB_tot,REB_home_tot,REB_away_tot,REB_allowed_tot,REB_home_allowed_tot,REB_away_allowed_tot,WINS,LOSSES,WIN_PCT,WINS_HOME,LOSSES_HOME,WIN_PCT_HOME,WINS_AWAY,LOSSES_AWAY,WIN_PCT_AWAY
0,1610612749.0,MIL,2003.0,98.03658536585365,101.1219512195122,94.95121951219512,96.97560975609755,96.92682926829268,97.02439024390245,8039.0,4146.0,3893.0,7952.0,3974.0,3978.0,22.829268292682926,24.5609756097561,21.097560975609756,22.804878048780488,22.414634146341463,23.195121951219512,1872.0,1007.0,865.0,1870.0,919.0,951.0,42.21951219512195,42.75609756097561,41.68292682926829,42.73170731707317,41.02439024390244,44.4390243902439,3462.0,1753.0,1709.0,3504.0,1682.0,1822.0,41.0,41.0,0.5,27.0,14.0,0.6585365853658537,14.0,27.0,0.34146341463414637
0,1610612750.0,MIN,2003.0,94.54878048780488,95.58536585365853,93.51219512195122,89.0609756097561,87.46341463414635,90.65853658536585,7753.0,3919.0,3834.0,7303.0,3586.0,3717.0,23.048780487804876,25.609756097560975,20.48780487804878,20.74390243902439,21.4390243902439,20.048780487804876,1890.0,1050.0,840.0,1701.0,879.0,822.0,42.926829268292686,43.90243902439025,41.951219512195124,41.47560975609756,40.170731707317074,42.78048780487805,3520.0,1800.0,1720.0,3401.0,1647.0,1754.0,58.0,24.0,0.7073170731707317,31.0,10.0,0.7560975609756098,27.0,14.0,0.6585365853658537
0,1610612751.0,BKN,2003.0,90.2560975609756,92.51219512195122,88.0,87.7560975609756,85.60975609756098,89.90243902439025,7401.0,3793.0,3608.0,7196.0,3510.0,3686.0,24.5,25.658536585365855,23.341463414634145,19.841463414634145,19.26829268292683,20.414634146341463,2009.0,1052.0,957.0,1627.0,790.0,837.0,40.670731707317074,41.926829268292686,39.41463414634146,40.78048780487805,38.65853658536585,42.90243902439025,3335.0,1719.0,1616.0,3344.0,1585.0,1759.0,47.0,35.0,0.573170731707317,28.0,13.0,0.6829268292682927,19.0,22.0,0.4634146341463415
0,1610612752.0,NYK,2003.0,91.97560975609755,93.48780487804878,90.46341463414635,93.45121951219512,93.0,93.90243902439025,7542.0,3833.0,3709.0,7663.0,3813.0,3850.0,20.670731707317074,20.146341463414632,21.195121951219512,20.4390243902439,18.463414634146343,22.414634146341463,1695.0,826.0,869.0,1676.0,757.0,919.0,42.59756097560975,44.75609756097561,40.4390243902439,41.390243902439025,40.21951219512195,42.5609756097561,3493.0,1835.0,1658.0,3394.0,1649.0,1745.0,39.0,43.0,0.47560975609756095,23.0,18.0,0.5609756097560976,16.0,25.0,0.3902439024390244
0,1610612753.0,ORL,2003.0,94.03658536585365,94.58536585365853,93.48780487804878,101.0609756097561,99.97560975609755,102.14634146341463,7711.0,3878.0,3833.0,8287.0,4099.0,4188.0,19.317073170731707,18.414634146341463,20.21951219512195,24.4390243902439,22.585365853658537,26.29268292682927,1584.0,755.0,829.0,2004.0,926.0,1078.0,40.890243902439025,40.951219512195124,40.829268292682926,44.41463414634146,42.31707317073171,46.51219512195122,3353.0,1679.0,1674.0,3642.0,1735.0,1907.0,21.0,61.0,0.25609756097560976,11.0,30.0,0.2682926829268293,10.0,31.0,0.24390243902439024
0,1610612754.0,IND,2003.0,91.3780487804878,91.29268292682927,91.46341463414635,85.6219512195122,82.3170731707317,88.92682926829268,7493.0,3743.0,3750.0,7021.0,3375.0,3646.0,21.634146341463413,23.365853658536587,19.902439024390244,20.109756097560975,19.853658536585368,20.365853658536587,1774.0,958.0,816.0,1649.0,814.0,835.0,41.670731707317074,43.0,40.34146341463415,40.1219512195122,40.24390243902439,40.0,3417.0,1763.0,1654.0,3290.0,1650.0,1640.0,61.0,21.0,0.7439024390243902,34.0,7.0,0.8292682926829268,27.0,14.0,0.6585365853658537
0,1610612755.0,PHI,2003.0,87.98780487804878,88.4390243902439,87.53658536585365,90.47560975609755,87.5609756097561,93.39024390243902,7215.0,3626.0,3589.0,7419.0,3590.0,3829.0,20.0,20.463414634146343,19.536585365853657,21.304878048780488,20.658536585365855,21.951219512195124,1640.0,839.0,801.0,1747.0,847.0,900.0,40.84146341463415,42.26829268292683,39.41463414634146,41.390243902439025,40.34146341463415,42.4390243902439,3349.0,1733.0,1616.0,3394.0,1654.0,1740.0,33.0,49.0,0.4024390243902439,21.0,20.0,0.5121951219512195,12.0,29.0,0.2926829268292683
0,1610612756.0,PHX,2003.0,94.1829268292683,95.7560975609756,92.60975609756098,97.92682926829268,96.46341463414635,99.39024390243902,7723.0,3926.0,3797.0,8030.0,3955.0,4075.0,19.341463414634145,18.536585365853657,20.146341463414632,21.463414634146343,19.26829268292683,23.658536585365855,1586.0,760.0,826.0,1760.0,790.0,970.0,40.609756097560975,40.80487804878049,40.41463414634146,43.75609756097561,42.5609756097561,44.951219512195124,3330.0,1673.0,1657.0,3588.0,1745.0,1843.0,29.0,53.0,0.35365853658536583,18.0,23.0,0.43902439024390244,11.0,30.0,0.2682926829268293
0,1610612757.0,POR,2003.0,90.73170731707317,93.04878048780488,88.41463414634147,92.0,91.29268292682927,92.70731707317073,7440.0,3815.0,3625.0,7544.0,3743.0,3801.0,21.5609756097561,23.682926829268293,19.4390243902439,23.317073170731707,24.121951219512194,22.51219512195122,1768.0,971.0,797.0,1912.0,989.0,923.0,41.65853658536585,41.707317073170735,41.609756097560975,40.34146341463415,39.09756097560975,41.58536585365854,3416.0,1710.0,1706.0,3308.0,1603.0,1705.0,41.0,41.0,0.5,25.0,16.0,0.6097560975609756,16.0,25.0,0.3902439024390244
0,1610612758.0,SAC,2003.0,102.84146341463415,105.70731707317073,99.97560975609755,97.82926829268293,95.29268292682927,100.36585365853658,8433.0,4334.0,4099.0,8022.0,3907.0,4115.0,26.24390243902439,26.317073170731707,26.170731707317074,21.25609756097561,18.75609756097561,23.75609756097561,2152.0,1079.0,1073.0,1743.0,769.0,974.0,41.21951219512195,42.09756097560975,40.34146341463415,43.91463414634146,42.09756097560975,45.73170731707317,3380.0,1726.0,1654.0,3601.0,1726.0,1875.0,55.0,27.0,0.6707317073170732,34.0,7.0,0.8292682926829268,21.0,20.0,0.5121951219512195
